date,type
1,0
5,4
12,4
42,0
43,0
61,0
91,0
102,0
104,0
111,0
119,0
121,0
131,2
132,0
132,5
144,0
174,0
176,0
176,0
176,0
184,0
184,0
204,0
205,2
206,0
217,0
222,0
227,0
236,0
271,0
280,0
282,0
284,1
306,0
307,0
310,0
311,0
314,0
315,0
316,0
339,2
340,0
342,0
355,2
356,2
356,0
357,2
358,2
359,2
364,2
365,0
425,0
426,0
427,0
455,0
466,0
468,0
472,0
475,0
485,0
494,2
495,5
496,0
508,0
527,5
530,5
535,5
538,0
540,0
540,0
540,0
540,5
543,5
544,5
545,5
546,5
548,0
548,0
549,5
550,5
553,5
554,5
557,5
558,5
568,0
569,2
570,0
581,0
586,0
591,0
600,0
635,0
644,0
646,0
647,1
670,0
671,0
674,0
675,0
678,0
679,0
680,0
696,5
699,5
703,2
704,0
706,0
718,4
719,2
720,0
720,2
721,2
722,2
723,3
723,2
728,2
729,0
730,3
738,4
775,0
776,0
789,0
819,0
821,0
830,0
832,0
839,0
849,0
857,2
858,5
860,0
872,0
902,0
904,0
904,0
904,0
912,0
912,0
932,0
933,0
934,0
945,0
950,0
955,0
964,0
999,0
1008,0
1010,0
1034,0
1035,0
1038,0
1039,0
1042,0
1043,0
1044,0
1059,5
1062,5
1067,2
1068,0
1070,0
1083,2
1084,2
1084,0
1085,2
1086,2
1087,2
1092,2
1131,0
1132,0
1154,0
1177,0
1184,0
1195,0
1197,0
1199,5
1200,5
1201,5
1202,5
1203,5
1204,0
1204,5
1205,5
1206,5
1207,5
1208,5
1209,5
1210,5
1211,5
1212,5
1213,5
1214,0
1214,5
1215,5
1216,5
1217,5
1218,5
1219,5
1220,2
1220,5
1221,5
1221,5
1222,5
1223,5
1224,5
1225,0
1225,5
1226,5
1227,5
1228,5
1229,5
1237,0
1240,1
1267,0
1269,0
1269,0
1269,0
1277,0
1277,0
1297,0
1298,2
1298,1
1299,0
1310,0
1315,0
1317,1
1320,0
1329,0
1364,0
1373,0
1375,0
1399,0
1400,0
1401,3
1403,0
1404,0
1407,0
1408,0
1409,0
1409,4
1422,5
1425,5
1432,2
1433,0
1435,0
1448,2
1449,2
1449,0
1450,2
1451,2
1452,2
1457,2
1458,0
1459,1
1515,0
1516,0
1518,0
1548,0
1559,0
1560,1
1561,0
1561,0
1568,0
1578,0
1589,0
1590,2
1591,5
1601,0
1603,1
1631,0
1633,0
1633,0
1633,0
1641,0
1641,0
1661,0
1662,2
1663,2
1674,0
1679,0
1680,1
1684,0
