store_id,city,type,cluster
store_1,0,0,0
store_2,0,0,0
store_3,0,0,1
store_4,0,0,2
store_5,1,0,3
store_6,0,0,0
store_7,0,0,1
store_8,0,0,1
store_9,0,1,4
store_10,0,2,5
store_11,2,1,4
store_12,3,2,5
store_13,3,2,5
store_14,4,2,6
store_15,5,2,5
store_16,1,2,7
store_17,0,2,8
store_18,0,1,9
store_19,6,2,5
store_20,0,1,4
store_21,1,1,4
store_22,7,2,6
store_23,8,0,2
store_24,9,0,10
store_25,10,0,10
store_26,9,0,11
store_27,11,0,10
store_28,9,3,11
store_29,9,3,11
store_30,9,2,7
store_31,12,1,11
store_32,9,2,7
store_33,13,2,7
store_34,9,1,4
store_35,14,2,7
store_36,15,3,11
store_37,16,0,12
store_38,17,0,3
store_39,16,1,4
store_40,18,2,7
store_41,18,0,3
store_42,16,0,12
store_43,19,3,11
store_44,0,4,13
store_45,0,4,14
store_46,0,4,15
store_47,0,4,15
store_48,0,4,15
store_49,0,4,14
store_50,8,4,15
store_51,9,4,16
store_52,20,4,14
store_53,20,0,0
store_54,21,2,7
